process,events,communications,pairs,non.pairs,pair.ratio
5,100,5,1332.99,4662.01,0.285926027614698
5,100,10,1740.67,5399.33,0.322386296077476
5,100,25,2997.6,8177.4,0.366571281825519
5,100,50,5720.64,14179.36,0.403448392593178
5,100,100,13380.9,31469.1,0.425207584582972
