Processes,Events,Communications,Pairs,Non-pairs
5,100,25,2590,8585
5,100,25,3025,8150
5,100,25,2810,8365
5,100,25,3004,8171
5,100,25,2786,8389
5,100,25,2675,8500
5,100,25,3261,7914
5,100,25,2661,8514
5,100,25,3303,7872
5,100,25,2620,8555
5,100,25,2723,8452
5,100,25,2847,8328
5,100,25,2774,8401
5,100,25,2422,8753
5,100,25,2927,8248
5,100,25,2834,8341
5,100,25,3107,8068
5,100,25,2850,8325
5,100,25,2817,8358
5,100,25,2725,8450
5,100,25,3038,8137
5,100,25,3002,8173
5,100,25,2997,8178
5,100,25,3104,8071
5,100,25,3270,7905
5,100,25,3112,8063
5,100,25,2761,8414
5,100,25,3083,8092
5,100,25,3153,8022
5,100,25,3344,7831
5,100,25,2699,8476
5,100,25,3340,7835
5,100,25,3414,7761
5,100,25,3512,7663
5,100,25,2943,8232
5,100,25,2906,8269
5,100,25,2872,8303
5,100,25,3308,7867
5,100,25,3053,8122
5,100,25,2972,8203
5,100,25,2846,8329
5,100,25,2746,8429
5,100,25,2732,8443
5,100,25,2927,8248
5,100,25,3487,7688
5,100,25,2768,8407
5,100,25,3472,7703
5,100,25,2940,8235
5,100,25,3315,7860
5,100,25,2837,8338
5,100,25,3783,7392
5,100,25,3606,7569
5,100,25,3326,7849
5,100,25,2584,8591
5,100,25,3124,8051
5,100,25,3181,7994
5,100,25,2934,8241
5,100,25,3684,7491
5,100,25,3040,8135
5,100,25,2811,8364
5,100,25,3259,7916
5,100,25,3040,8135
5,100,25,2820,8355
5,100,25,3238,7937
5,100,25,2866,8309
5,100,25,2774,8401
5,100,25,2889,8286
5,100,25,3446,7729
5,100,25,3169,8006
5,100,50,5081,14819
5,100,50,5373,14527
5,100,50,5542,14358
5,100,50,5681,14219
5,100,50,6492,13408
5,100,50,6713,13187
5,100,50,5653,14247
5,100,50,4929,14971
5,100,50,4804,15096
5,100,50,5544,14356
5,100,50,5016,14884
5,100,50,5131,14769
5,100,50,5590,14310
5,100,50,6243,13657
5,100,50,5224,14676
5,100,50,5966,13934
5,100,50,4956,14944
5,100,50,4924,14976
5,100,50,4985,14915
5,100,50,4923,14977
5,100,50,6492,13408
5,100,50,5356,14544
5,100,50,5732,14168
5,100,50,5363,14537
5,100,50,5330,14570
5,100,50,4889,15011
5,100,50,5614,14286
5,100,50,7120,12780
5,100,50,5049,14851
5,100,50,6309,13591
5,100,50,6113,13787
5,100,50,5742,14158
5,100,50,5345,14555
5,100,50,5994,13906
5,100,50,5167,14733
5,100,50,5240,14660
5,100,50,6059,13841
5,100,50,6221,13679
5,100,50,4930,14970
5,100,50,5304,14596
5,100,50,6706,13194
5,100,50,4845,15055
5,100,50,5122,14778
5,100,50,4881,15019
5,100,50,5403,14497
5,100,50,5851,14049
5,100,50,5183,14717
5,100,50,5361,14539
5,100,50,5479,14421
5,100,50,7207,12693
5,100,50,5734,14166
5,100,50,5561,14339
5,100,50,5372,14528
5,100,50,5391,14509
5,100,50,5215,14685
5,100,50,4885,15015
5,100,50,7031,12869
